,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,selling_price_scaled
1579,Hyundai Verna CRDi,2008,120000,120000,Diesel,Individual,Manual,Second Owner,16.8,1493.0,110.0,5.0,11.695255355062795
1580,Hyundai Verna CRDi SX,2008,245000,127000,Diesel,Individual,Manual,Second Owner,16.8,1493.0,110.0,5.0,12.409017571151187
1581,Hyundai Verna CRDi,2007,170000,120000,Diesel,Individual,Manual,Second Owner,16.8,1493.0,110.0,5.0,12.04355959836804
1583,Hyundai Verna CRDi SX,2006,135000,120000,Diesel,Individual,Manual,Second Owner,16.8,1493.0,110.0,5.0,11.813037464800539
1584,Hyundai Verna CRDi,2007,185000,120000,Diesel,Individual,Manual,Fourth & Above Owner,16.8,1493.0,110.0,5.0,12.128116509451258
1585,Hyundai Verna CRDi SX,2010,190000,90000,Diesel,Individual,Manual,Second Owner,16.8,1493.0,110.0,5.0,12.154784614286667
1586,Hyundai Verna CRDi SX,2010,310000,120000,Diesel,Individual,Manual,Second Owner,16.8,1493.0,110.0,5.0,12.644330802262578
1587,Hyundai Verna CRDi SX,2007,212000,58000,Diesel,Dealer,Manual,Second Owner,16.8,1493.0,110.0,5.0,12.264346270624157
1588,Hyundai Verna CRDi SX,2007,135000,119000,Diesel,Individual,Manual,Fourth & Above Owner,16.8,1493.0,110.0,5.0,11.813037464800539
1589,Hyundai Verna Transform CRDi VGT SX ABS,2010,260000,110000,Diesel,Individual,Manual,Second Owner,16.2,1493.0,110.0,5.0,12.468440756144114
1590,Hyundai Verna Transform SX VGT CRDi,2011,300000,110000,Diesel,Individual,Manual,Second Owner,16.2,1493.0,110.0,5.0,12.611541086966115
1591,Hyundai Verna Transform CRDi VGT SX ABS,2011,400000,70000,Diesel,Individual,Manual,Third Owner,16.2,1493.0,110.0,5.0,12.899222326086994
1592,Hyundai Verna Transform CRDi VGT SX ABS,2010,320000,70000,Diesel,Individual,Manual,Second Owner,16.2,1493.0,110.0,5.0,12.676079399771027
1593,Hyundai Verna Transform SX VGT CRDi,2011,260000,90000,Diesel,Individual,Manual,Third Owner,16.2,1493.0,110.0,5.0,12.468440756144114
1594,Hyundai Verna Transform VGT CRDi,2010,195000,120000,Diesel,Individual,Manual,Second Owner,16.2,1493.0,110.0,5.0,12.180759965737863
1595,Hyundai Verna Transform SX VGT CRDi,2010,220000,80000,Diesel,Individual,Manual,Second Owner,16.2,1493.0,110.0,5.0,12.301387370778713
1596,Hyundai Verna Transform VGT CRDi,2010,220000,80000,Diesel,Individual,Manual,Second Owner,16.2,1493.0,110.0,5.0,12.301387370778713
1597,Hyundai Verna Transform SX VGT CRDi AT BS III,2010,245000,185000,Diesel,Individual,Automatic,Fourth & Above Owner,16.2,1493.0,110.0,5.0,12.409017571151187
1598,Hyundai Verna Transform CRDi VGT SX ABS,2010,250000,190000,Diesel,Individual,Manual,Third Owner,16.2,1493.0,110.0,5.0,12.429220196836383
1599,Mahindra XUV300 W8 Option BSIV,2019,1090000,16500,Petrol,Dealer,Manual,First Owner,17.0,1197.0,110.0,5.0,13.901689171636098
1600,Mahindra XUV300 W8 Option BSIV,2019,1000000,22000,Petrol,Individual,Manual,First Owner,17.0,1197.0,110.0,5.0,13.815511557963774
1602,Mahindra XUV300 W8 Option BSIV,2019,1132000,20000,Petrol,Individual,Manual,First Owner,17.0,1197.0,110.0,5.0,13.939497421137101
1603,Volkswagen Ameo 1.5 TDI Highline Plus 16 AT,2018,650000,82000,Diesel,Individual,Automatic,First Owner,21.73,1498.0,108.62,5.0,13.384729180332174
1604,Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,13.122365377402328
1605,Volkswagen Ameo 1.5 TDI Comfortline,2017,700000,40906,Diesel,Dealer,Manual,First Owner,21.66,1498.0,108.62,5.0,13.45883704259595
1606,Volkswagen Ameo 1.5 TDI Comfortline,2017,555000,52000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,13.22672519452875
1607,Volkswagen Ameo 1.5 TDI Comfortline,2017,560000,52000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,13.235693848424024
1608,Volkswagen Ameo 1.5 TDI Comfortline,2017,550000,50000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,13.217675375388819
1609,Volkswagen Ameo 1.5 TDI Trendline,2017,575000,40000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,13.26212705890841
1610,Volkswagen Ameo 1.5 TDI Highline Plus,2019,800000,25000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,13.592368256649284
1611,Volkswagen Ameo 1.5 TDI Comfortline,2018,600000,40000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,13.304686600863562
1612,Volkswagen Ameo 1.5 TDI Comfortline,2018,560000,18000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,13.235693848424024
1613,Volkswagen Ameo 1.5 TDI Comfortline,2020,800000,25000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,13.592368256649284
1614,Volkswagen Vento 1.5 TDI Highline,2017,900000,74000,Diesel,Individual,Manual,First Owner,22.27,1498.0,108.6,5.0,13.710151153416941
1615,Volkswagen Vento 1.5 TDI Comfortline,2015,560000,43001,Diesel,Dealer,Manual,First Owner,22.27,1498.0,108.6,5.0,13.235693848424024
1616,Volkswagen Vento 1.5 TDI Highline BSIV,2019,1350000,5400,Diesel,Dealer,Manual,Test Drive Car,22.27,1498.0,108.6,5.0,14.115615891155079
1617,Volkswagen Vento 1.5 TDI Comfortline,2017,750000,50000,Diesel,Individual,Manual,First Owner,22.27,1498.0,108.6,5.0,13.527829818844937
1618,Volkswagen Vento 1.5 TDI Highline AT,2016,1000000,60000,Diesel,Individual,Automatic,First Owner,22.15,1498.0,108.6,5.0,13.815511557963774
1620,Volkswagen Vento 1.5 TDI Highline Plus AT,2015,651000,69000,Diesel,Dealer,Automatic,First Owner,22.15,1498.0,108.6,5.0,13.386266457287837
1621,Volkswagen Vento 1.5 TDI Highline Plus AT BSIV,2018,1290000,29899,Diesel,Dealer,Automatic,First Owner,22.15,1498.0,108.6,5.0,14.070153551531353
1622,Skoda Rapid 1.5 TDI AT Style BSIV,2017,850000,35000,Diesel,Individual,Automatic,Second Owner,21.72,1498.0,108.6,5.0,13.652992804936396
1623,Skoda Rapid Monte Carlo 1.5 TDI AT BSIV,2017,900000,40000,Diesel,Individual,Automatic,First Owner,21.66,1498.0,108.6,5.0,13.710151153416941
1624,Skoda Rapid 1.5 TDI Ambition BSIV,2018,900000,35000,Diesel,Individual,Manual,First Owner,21.13,1498.0,108.6,5.0,13.710151153416941
1625,Skoda Rapid 1.5 TDI Ambition BSIV,2018,950000,40000,Diesel,Individual,Manual,First Owner,21.13,1498.0,108.6,5.0,13.76421831620775
1626,Mahindra XUV300 W8,2019,960000,20000,Petrol,Individual,Manual,First Owner,17.0,1197.0,108.6,5.0,13.774689605110144
1627,Volkswagen Polo 1.0 TSI Highline Plus,2020,808000,5000,Petrol,Individual,Manual,First Owner,18.24,999.0,108.6,5.0,13.60231857512623
1628,Skoda Laura Ambiente 2.0 TDI CR MT,2011,270000,140000,Diesel,Individual,Manual,Second Owner,20.0,1968.0,108.5,5.0,12.506180941677357
1629,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2018,885000,75000,Diesel,Individual,Automatic,First Owner,21.5,1498.0,108.5,5.0,13.69334405393293
1630,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2018,950000,75000,Diesel,Individual,Automatic,First Owner,21.5,1498.0,108.5,5.0,13.76421831620775
1631,Volkswagen Polo 2015-2019 GT 1.5 TDI,2016,591000,60000,Diesel,Dealer,Manual,First Owner,21.49,1498.0,108.5,5.0,13.28957298843418
1632,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5.0,13.840204146163925
1633,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,950000,40000,Diesel,Individual,Automatic,First Owner,21.5,1497.0,108.5,5.0,13.76421831620775
1634,Tata Nexon 1.5 Revotorq XZ Plus,2017,869999,70000,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,5.0,13.676248490630767
1635,Tata Nexon 1.5 Revotorq XM,2018,700000,35000,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,5.0,13.45883704259595
1636,Tata Nexon 1.5 Revotorq XZ Plus,2017,830000,35000,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,5.0,13.629182184591333
1637,Tata Nexon 1.5 Revotorq XE,2017,665000,25000,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,5.0,13.407543823396258
1638,Tata Nexon 1.5 Revotorq XZ Plus,2017,919999,26766,Diesel,Dealer,Manual,First Owner,21.5,1497.0,108.5,5.0,13.732128949025222
1639,Tata Nexon 1.5 Revotorq XZ Plus,2018,790000,60000,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,5.0,13.579789490265188
1640,Tata Nexon 1.5 Revotorq XM,2018,749000,30000,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,5.0,13.52649559761195
1643,Tata Nexon 1.5 Revotorq XZA Plus,2019,1140000,10000,Diesel,Individual,Automatic,First Owner,21.5,1497.0,108.5,5.0,13.946539697563276
1645,Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,2018,860000,60000,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,5.0,13.664688831019712
1646,Tata Nexon 1.5 Revotorq XZ Plus,2018,980000,20000,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,5.0,13.795308871054397
1647,Tata Nexon 1.5 Revotorq XZ Plus,2018,969999,21871,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,5.0,13.785051350479566
1648,Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,2018,950000,14000,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,5.0,13.76421831620775
1649,Tata Nexon 1.5 Revotorq XM,2018,850000,9500,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,5.0,13.652992804936396
1650,Tata Nexon 1.5 Revotorq XT,2018,800000,85000,Diesel,Individual,Manual,Second Owner,21.5,1497.0,108.5,5.0,13.592368256649284
1651,Nissan Kicks XV D BSIV,2019,1200000,23000,Diesel,Individual,Manual,First Owner,20.45,1461.0,108.5,5.0,13.997832948091215
1652,Renault Fluence 1.5,2013,580000,67000,Diesel,Individual,Manual,Second Owner,20.4,1461.0,108.5,5.0,13.270785106659046
1653,Renault Lodgy World Edition 110PS,2017,880000,65000,Diesel,Individual,Manual,First Owner,19.98,1461.0,108.5,8.0,13.68767832281738
1654,Renault Lodgy Stepway 110PS RXZ 7S,2015,550000,240000,Diesel,Individual,Manual,First Owner,19.98,1461.0,108.5,7.0,13.217675375388819
1656,Renault Duster RXZ 110PS AMT BSIV,2017,750000,20171,Diesel,Dealer,Automatic,First Owner,19.87,1461.0,108.5,5.0,13.527829818844937
1657,Nissan Terrano XV D Premium AMT,2017,850000,55000,Diesel,Individual,Automatic,First Owner,19.61,1461.0,108.5,5.0,13.652992804936396
1659,Nissan Terrano XV Premium 110 PS,2014,555000,80100,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.5,5.0,13.22672519452875
1660,Nissan Terrano XV 110 PS,2014,525000,120000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.5,5.0,13.171155446333852
1661,Nissan Terrano XL 110 PS,2016,800000,36000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.5,5.0,13.592368256649284
1663,Nissan Terrano XL 110 PS,2015,750000,70000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.5,5.0,13.527829818844937
1664,Nissan Terrano XV Premium 110 PS,2014,475000,40000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.5,5.0,13.07107218827772
1665,Nissan Terrano XL 110 PS,2014,540000,150000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.5,5.0,13.199326270390594
1666,Honda Civic Hybrid,2008,250000,60000,Petrol,Individual,Automatic,Third Owner,20.0,1339.0,108.5,5.0,12.429220196836383
1667,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0,13.606024566142413
1668,Tata Nexon 1.2 Revotron XM,2018,740000,15000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,5.0,13.51440681653079
1669,Tata Nexon 1.2 Revotron XM,2018,575000,70000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,5.0,13.26212705890841
1670,Tata Nexon 1.2 Revotron XZA Plus,2020,950000,5000,Petrol,Individual,Automatic,First Owner,17.0,1198.0,108.5,5.0,13.76421831620775
1671,Tata Nexon 1.2 Revotron XZ Plus,2018,790000,15000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,5.0,13.579789490265188
1672,Tata Nexon 1.2 Revotron XM,2018,595000,28000,Petrol,Individual,Manual,Second Owner,17.0,1198.0,108.5,5.0,13.296318365198623
1673,Tata Nexon 1.2 Revotron XZ Plus,2018,750000,25000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,5.0,13.527829818844937
1676,Tata Nexon 1.2 Revotron XE,2018,600000,30000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,5.0,13.304686600863562
1677,Tata Nexon 1.2 Revotron XZ Plus,2018,850000,50000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,5.0,13.652992804936396
1678,Tata Nexon 1.2 Revotron XZ Plus,2018,850000,40000,Petrol,Individual,Manual,Second Owner,17.0,1198.0,108.5,5.0,13.652992804936396
1679,Tata Nexon 1.2 Revotron XM,2020,537000,5000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,5.0,13.19375523568666
1680,Tata Nexon 1.2 Revotron XM,2018,625000,25000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,5.0,13.345508528717259
1681,Tata Nexon 1.2 Revotron XM,2018,650000,28000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,5.0,13.384729180332174
1682,Tata Nexon 1.2 Revotron XZ Plus,2020,919999,20000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,5.0,13.732128949025222
1683,Tata Nexon 1.2 Revotron XM,2018,750000,15000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,5.0,13.527829818844937
1684,Tata Nexon 1.2 Revotron XM,2018,700000,35000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,5.0,13.45883704259595
1685,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,13.199326270390594
1686,Volkswagen Ameo 1.5 TDI Comfortline AT,2017,625000,34000,Diesel,Individual,Automatic,First Owner,22.0,1498.0,108.495,5.0,13.345508528717259
1688,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2017,600000,29000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,13.304686600863562
1690,Volkswagen Ameo 1.5 TDI Comfortline AT,2017,655000,50000,Diesel,Individual,Automatic,First Owner,22.0,1498.0,108.495,5.0,13.39239204133378
1691,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2017,650000,49060,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,13.384729180332174
1692,Renault Captur 1.5 Diesel RXT,2017,900000,50000,Diesel,Individual,Manual,First Owner,20.37,1461.0,108.45,5.0,13.710151153416941
1694,Renault Captur 1.5 Diesel RXT,2018,1265000,12000,Diesel,Individual,Manual,First Owner,20.37,1461.0,108.45,5.0,14.05058347065728
1696,Renault Duster 4x4,2014,560000,132000,Diesel,Individual,Manual,Second Owner,19.72,1461.0,108.45,5.0,13.235693848424024
1697,Renault Duster Adventure Edition RXZ AWD,2016,650000,80000,Diesel,Individual,Manual,First Owner,19.72,1461.0,108.45,5.0,13.384729180332174
1698,Renault Duster 4x4,2014,650000,129000,Diesel,Individual,Manual,First Owner,19.72,1461.0,108.45,5.0,13.384729180332174
1699,Renault Duster 110PS Diesel RxL,2016,550000,80000,Diesel,Individual,Manual,Second Owner,19.64,1461.0,108.45,5.0,13.217675375388819
1700,Renault Duster 110PS Diesel RxZ Plus,2013,520000,109000,Diesel,Individual,Manual,Second Owner,19.64,1461.0,108.45,5.0,13.161586013632684
1701,Renault Duster 110PS Diesel RxL Explore,2016,650000,30000,Diesel,Individual,Manual,First Owner,19.64,1461.0,108.45,5.0,13.384729180332174
1702,Renault Duster 110PS Diesel RxZ,2018,1050000,18000,Diesel,Dealer,Manual,First Owner,19.6,1461.0,108.45,5.0,13.864301674514206
1703,Renault Duster 110PS Diesel RxZ,2018,1250000,12000,Diesel,Individual,Manual,First Owner,19.6,1461.0,108.45,5.0,14.038654909278163
1704,Renault Duster 110PS Diesel RxZ,2018,950000,26000,Diesel,Individual,Manual,First Owner,19.6,1461.0,108.45,5.0,13.76421831620775
1705,Renault Duster 110PS Diesel RxL AMT,2017,850000,50000,Diesel,Individual,Automatic,First Owner,19.6,1461.0,108.45,5.0,13.652992804936396
1706,Renault Duster 110PS Diesel RxZ,2017,880000,50000,Diesel,Individual,Manual,First Owner,19.6,1461.0,108.45,5.0,13.68767832281738
1709,Renault Duster 110PS Diesel RxL,2014,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,13.122365377402328
1710,Renault Duster 110PS Diesel RxZ,2012,480000,55735,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,13.081543466215237
1711,Renault Duster 110PS Diesel RxZ,2015,600000,60000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,13.304686600863562
1712,Renault Duster 110PS Diesel RxL,2012,400000,120000,Diesel,Individual,Manual,Third Owner,19.01,1461.0,108.45,5.0,12.899222326086994
1713,Renault Duster 110PS Diesel RxL,2013,360000,81000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,12.793862088206213
1714,Renault Duster 110PS Diesel RxZ,2012,350000,105000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,12.765691290604371
1715,Renault Duster 110PS Diesel RxZ,2012,375000,100000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,12.834683971615659
1716,Renault Duster 110PS Diesel RxZ,2013,525000,56429,Diesel,Dealer,Manual,Second Owner,19.01,1461.0,108.45,5.0,13.171155446333852
1717,Renault Duster Adventure Edition,2014,495000,175000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,13.112315061750808
1718,Renault Duster 110PS Diesel RxL,2013,520000,126000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,13.161586013632684
1719,Renault Duster 110PS Diesel RxL,2013,345000,100000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,12.75130259456002
1720,Renault Duster 110PS Diesel RxZ,2014,409999,188000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,12.92391243868049
1721,Renault Duster 110PS Diesel RxZ,2013,650000,120000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,13.384729180332174
1722,Renault Duster 110PS Diesel RxZ,2014,600000,114000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,13.304686600863562
1723,Renault Duster 110PS Diesel RxZ,2012,320000,110000,Diesel,Individual,Manual,Third Owner,19.01,1461.0,108.45,5.0,12.676079399771027
1724,Renault Duster 110PS Diesel RxL,2012,500000,110000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,13.122365377402328
1725,Renault Duster 110PS Diesel RxL,2014,400000,123000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,12.899222326086994
1726,Renault Duster 110PS Diesel RxZ,2012,450000,90000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,13.017005083966255
1727,Renault Duster Adventure Edition,2014,500000,120000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,13.122365377402328
1728,Renault Duster RXL AWD,2013,695000,120000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,13.451668563394815
1729,Renault Duster 110PS Diesel RxZ,2012,550000,86000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,13.217675375388819
1730,Renault Duster 110PS Diesel RXZ Optional with Nav,2014,455999,80000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,13.030248088496522
1731,Renault Duster 110PS Diesel RxZ,2012,450000,100000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,13.017005083966255
1732,Renault Duster 110PS Diesel RxZ,2014,650000,80000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,13.384729180332174
1733,Renault Duster 110PS Diesel RxL,2014,450000,133000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,13.017005083966255
1734,Renault Duster 110PS Diesel RxL,2014,620000,90000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,13.3374763699232
1735,Renault Duster 110PS Diesel RxL,2015,600000,136000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,13.304686600863562
1736,Renault Duster 110PS Diesel RxL,2014,600000,116000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,13.304686600863562
1737,Renault Duster 110PS Diesel RxZ,2015,600000,160000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,13.304686600863562
1738,Skoda Laura Ambiente,2010,250000,100000,Diesel,Individual,Manual,Second Owner,17.5,1896.0,106.0,5.0,12.429220196836383
1739,Skoda Laura Ambiente 1.9 PD,2008,229999,110000,Diesel,Individual,Manual,Second Owner,17.5,1896.0,106.0,5.0,12.345834587905333
1740,Toyota Yaris V CVT BSIV,2018,1100000,25000,Petrol,Individual,Automatic,First Owner,17.8,1496.0,105.5,5.0,13.910821646859095
1741,Toyota Yaris V CVT BSIV,2018,1080000,12800,Petrol,Individual,Automatic,First Owner,17.8,1496.0,105.5,5.0,13.8924725250259
1743,Toyota Yaris V BSIV,2018,1000000,4295,Petrol,Trustmark Dealer,Manual,First Owner,17.1,1496.0,105.5,5.0,13.815511557963774
1744,Toyota Yaris V BSIV,2018,1000000,5229,Petrol,Trustmark Dealer,Manual,First Owner,17.1,1496.0,105.5,5.0,13.815511557963774
1747,Hyundai Verna 1.4 VTVT,2015,465000,50000,Petrol,Individual,Manual,Second Owner,17.43,1396.0,105.5,5.0,13.049794835104816
1748,Hyundai Verna 1.4 VTVT,2014,550000,40000,Petrol,Individual,Manual,First Owner,17.43,1396.0,105.5,5.0,13.217675375388819
1749,Hyundai Verna 1.4 VTVT,2016,650000,40000,Petrol,Individual,Manual,First Owner,17.43,1396.0,105.5,5.0,13.384729180332174
1750,Hyundai Verna 1.4 VTVT,2014,500000,33400,Petrol,Individual,Manual,First Owner,17.43,1396.0,105.5,5.0,13.122365377402328
1751,Chevrolet Tavera Neo 3 LS 10 Str,2016,409999,60000,Diesel,Individual,Manual,Second Owner,12.2,1994.0,105.3,10.0,12.92391243868049
1752,Chevrolet Tavera Neo 3 LT 9 Seats BSIV,2010,409999,210000,Diesel,Individual,Manual,Fourth & Above Owner,12.2,1994.0,105.3,9.0,12.92391243868049
1753,Mahindra Thar CRDe,2017,780000,35000,Diesel,Individual,Manual,First Owner,16.55,2498.0,105.0,6.0,13.567050480716235
1754,Mahindra Thar CRDe,2016,630000,101000,Diesel,Individual,Manual,First Owner,16.55,2498.0,105.0,6.0,13.353476685668044
1755,Mahindra Thar CRDe AC,2014,700000,40000,Diesel,Individual,Manual,Second Owner,16.55,2498.0,105.0,6.0,13.45883704259595
1756,Mahindra Thar CRDe AC,2014,700000,24000,Diesel,Individual,Manual,First Owner,16.55,2498.0,105.0,6.0,13.45883704259595
1757,Mahindra Thar CRDe,2017,775000,35000,Diesel,Individual,Manual,First Owner,16.55,2498.0,105.0,6.0,13.560619598657233
1758,Mahindra Thar CRDe ABS,2018,900000,26235,Diesel,Dealer,Manual,First Owner,16.55,2498.0,105.0,6.0,13.710151153416941
1759,Mahindra Thar CRDe AC,2014,525000,70000,Diesel,Individual,Manual,Second Owner,16.55,2498.0,105.0,6.0,13.171155446333852
1760,Mahindra Thar CRDe,2018,850000,15000,Diesel,Individual,Manual,Second Owner,16.55,2498.0,105.0,6.0,13.652992804936396
1762,Mahindra Thar CRDe,2018,875000,25000,Diesel,Individual,Manual,First Owner,16.55,2498.0,105.0,6.0,13.681980308196241
1763,Mahindra Thar CRDe AC,2014,550000,80000,Diesel,Individual,Manual,Second Owner,16.55,2498.0,105.0,6.0,13.217675375388819
1764,Mahindra Thar CRDe,2018,900000,35000,Diesel,Individual,Manual,First Owner,16.55,2498.0,105.0,6.0,13.710151153416941
1765,Mahindra Thar CRDe ABS,2019,974000,15000,Diesel,Individual,Manual,First Owner,16.55,2498.0,105.0,6.0,13.78916760931819
1766,Mahindra Thar CRDe,2019,975000,12584,Diesel,Dealer,Manual,First Owner,16.55,2498.0,105.0,6.0,13.790193775620484
1767,Mahindra Thar 4X4,2015,585000,50000,Diesel,Individual,Manual,First Owner,16.55,2498.0,105.0,7.0,13.279368835614243
1768,Mahindra Thar CRDe,2019,950000,15000,Diesel,Individual,Manual,First Owner,16.55,2498.0,105.0,6.0,13.76421831620775
1769,Mahindra Thar CRDe,2017,800000,60000,Diesel,Individual,Manual,Second Owner,16.55,2498.0,105.0,6.0,13.592368256649284
1770,Mahindra Thar 4X4,2013,770000,85000,Diesel,Individual,Manual,First Owner,16.55,2498.0,105.0,7.0,13.554147092530322
1771,Mahindra Thar CRDe AC,2018,900000,12000,Diesel,Dealer,Manual,First Owner,16.55,2498.0,105.0,6.0,13.710151153416941
1774,Volkswagen Jetta 2.0 TDI Comfortline,2011,350000,120000,Diesel,Individual,Manual,Second Owner,15.0,1896.0,105.0,5.0,12.765691290604371
1775,Volkswagen Jetta 2.0 TDI Comfortline,2010,400000,100000,Diesel,Individual,Manual,First Owner,15.0,1896.0,105.0,5.0,12.899222326086994
1777,Volkswagen Vento IPL II Diesel Trendline,2011,330000,66000,Diesel,Individual,Manual,Second Owner,20.5,1598.0,105.0,5.0,12.706850963741102
1778,Volkswagen Vento Diesel Breeze,2012,400000,60000,Diesel,Individual,Manual,Third Owner,20.5,1598.0,105.0,5.0,12.899222326086994
1779,Skoda Rapid 1.6 MPI Ambition,2013,375000,100000,Petrol,Individual,Manual,First Owner,15.0,1598.0,105.0,5.0,12.834683971615659
1780,Maruti SX4 Zxi with Leather BSIII,2008,150000,89000,Petrol,Individual,Manual,Second Owner,15.6,1586.0,104.68,5.0,11.918397239722838
1781,Maruti SX4 Zxi with Leather BSIII,2008,111000,110000,Petrol,Individual,Manual,Third Owner,15.6,1586.0,104.68,5.0,11.6172944892629
1782,Maruti SX4 Vxi BSIII,2007,160000,120000,Petrol,Individual,Manual,Second Owner,15.0,1586.0,104.68,5.0,11.982935344196433
1783,Maruti SX4 Zxi BSIII,2010,300000,22000,Petrol,Individual,Manual,First Owner,15.0,1586.0,104.68,5.0,12.611541086966115
1784,Maruti SX4 Vxi BSIII,2009,150000,110000,Petrol,Individual,Manual,First Owner,15.0,1586.0,104.68,5.0,11.918397239722838
1785,Maruti SX4 Vxi BSIII,2007,125000,120000,Petrol,Individual,Manual,Third Owner,15.0,1586.0,104.68,5.0,11.736077016252437
1786,Maruti SX4 Zxi BSIII,2009,200000,110000,Petrol,Individual,Manual,Third Owner,15.0,1586.0,104.68,5.0,12.206077645517674
